GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 26 17:50:15 GMT+01:00 2019,26-dic-2019 17:50:14.304,14.11301572,41.77911347,10.67,851.8594970703125,2.28490305,8.2847147,3.10534692,13.30301571,7.5169363,-,1618.5,3.79009247,851.85949707,41.77911377,14.11301613,0.1396361,0.97808778,0.12497884,0.01364249,386
Thu Dec 26 17:50:15 GMT+01:00 2019,26-dic-2019 17:50:15.012,14.11301572,41.77911347,10.67,851.8594970703125,2.02858686,9.01054382,4.19049883,13.82379341,7.23375416,-,1616.5,3.79009247,851.85949707,41.77911377,14.11301613,0.14329891,0.96368074,0.29200307,0.05054047,386
Thu Dec 26 17:50:16 GMT+01:00 2019,26-dic-2019 17:50:15.975,14.11290584,41.77917505,11.32,853.178955078125,1.81778479,9.08001328,3.01910973,151.47253418,0.66017193,-,1572.5,3.79009247,853.17895508,41.7791748,14.1129055,0.17821771,0.9021455,0.32692182,0.01419563,387
Thu Dec 26 17:50:17 GMT+01:00 2019,26-dic-2019 17:50:16.691,14.11280462,41.77923516,10.77,853.82470703125,2.32802153,8.94347191,3.85992265,181.2480011,0,-,1527.5,3.79009247,853.82470703,41.77923584,14.11280441,0.20507832,0.94316888,0.34792197,0.06443999,388
Thu Dec 26 17:50:18 GMT+01:00 2019,26-dic-2019 17:50:17.413,14.11271091,41.7792956,10.31,854.65087890625,1.68603337,9.03929043,3.94615984,181.2480011,0,-,1499,3.79009247,854.65087891,41.77929688,14.11271095,0.25122973,0.89091289,0.32081714,0.01717046,389
Thu Dec 26 17:50:19 GMT+01:00 2019,26-dic-2019 17:50:18.250,14.11262501,41.77935144,9.57,855.2674560546875,2.11003304,8.90035248,4.4779563,181.2480011,0,-,1454,3.79009247,855.26745605,41.77935028,14.11262512,0.19921781,0.94683176,0.30421239,0.04896002,390
Thu Dec 26 17:50:19 GMT+01:00 2019,26-dic-2019 17:50:18.971,14.11262501,41.77935144,9.57,855.2674560546875,1.43450809,8.97461224,3.68744826,181.2480011,0,-,1404,3.79009247,855.26745605,41.77935028,14.11262512,0.21972957,0.89628506,0.26074705,-0.00883034,390
Thu Dec 26 17:50:20 GMT+01:00 2019,26-dic-2019 17:50:19.728,14.11255488,41.77939887,8.39,853.294189453125,1.90162635,8.69673729,5.25648689,181.2480011,0,-,1353,3.79009247,853.29418945,41.77939987,14.11255455,0.13426398,1.06623936,0.40750366,0.18887267,391
Thu Dec 26 17:50:21 GMT+01:00 2019,26-dic-2019 17:50:20.585,14.11247335,41.77944871,8.79,853.0562744140625,1.73394299,8.85244274,2.95922279,39.78748322,2.51330113,-,1372.5,3.79009247,853.05627441,41.77944946,14.11247349,0.17602001,0.93071532,0.20873514,-0.00340095,392
Thu Dec 26 17:50:22 GMT+01:00 2019,26-dic-2019 17:50:21.423,14.11239277,41.77950148,9.05,852.8896484375,1.29796576,9.30758381,3.07420564,7.23917484,13.81344128,-,1405,3.79009247,852.88964844,41.77950287,14.11239243,0.15550828,0.94145966,0.21288629999999997,0.00454769,393
